Kelas,Hari,Masa,Subjek
1B,ISNIN,7:40-8:10,PP-SGS
1B,ISNIN,8:10-8:40,BI-AZU
1B,ISNIN,8:40-9:10,BI-AZU
1B,ISNIN,9:10-9:40,SN-SUZ
1B,ISNIN,9:40-10:10,SN-SUZ
1B,ISNIN,10:30-11:00,SEJ-DIN
1B,ISNIN,11:00-11:30,SEJ-DIN
1B,ISNIN,11:30-12:00,RBT-VIY
1B,ISNIN,12:00-12:30,BM-JWA
1B,ISNIN,12:30-1:00,BM-JWA
1B,ISNIN,1:00-1:30,PAM-ZIL
1B,SELASA,7:40-8:10,PIB-ZIL
1B,SELASA,8:10-8:40,PIB-ZIL
1B,SELASA,8:40-9:10,PJ-WAN
1B,SELASA,9:10-9:40,PJ-WAN
1B,SELASA,9:40-10:10,BM-JWA
1B,SELASA,10:30-11:00,BM-JWA
1B,SELASA,11:00-11:30,BM-JWA
1B,SELASA,11:30-12:00,PIB-ZIL
1B,SELASA,12:00-12:30,PIB-ZIL
1B,SELASA,12:30-1:00,MAT-KIL
1B,SELASA,1:00-1:30,MAT-KIL
1B,RABU,7:40-8:10,PSB-FID
1B,RABU,8:10-8:40,PSB-FID
1B,RABU,8:40-9:10,SN-SUZ
1B,RABU,9:10-9:40,SN-SUZ
1B,RABU,9:40-10:10,GEO-COO
1B,RABU,10:30-11:00,GEO-COO
1B,RABU,11:00-11:30,GEO-COO
1B,RABU,11:30-12:00,MAT-KIL
1B,RABU,12:00-12:30,BI-AZU
1B,RABU,12:30-1:00,BI-AZU
1B,KHAMIS,7:40-8:10,PJ-WAN
1B,KHAMIS,8:10-8:40,PJ-WAN
1B,KHAMIS,8:40-9:10,RBT-VIY
1B,KHAMIS,9:10-9:40,BM-JWA
1B,KHAMIS,9:40-10:10,BM-JWA
1B,KHAMIS,10:30-11:00,SEJ-DIN
1B,KHAMIS,11:00-11:30,SEJ-DIN
1B,KHAMIS,11:30-12:00,MAT-KIL
1B,KHAMIS,12:00-12:30,MAT-KIL
1B,KHAMIS,12:30-1:00,MAT-KIL
1B,JUMAAT,7:45-8:15,BI-AZU
1B,JUMAAT,8:15-8:45,BI-AZU
1B,JUMAAT,8:45-9:15,RBT-VIY
1B,JUMAAT,9:15-9:45,RBT-VIY
1B,JUMAAT,10:05-10:35,SN-SUZ
1B,JUMAAT,10:35-11:05,SN-SUZ
1B,JUMAAT,11:05-11:35,PIB-ZIL
1B,JUMAAT,11:35-12:05,PIB-ZIL
1D,ISNIN,7:40-8:10,PP-SGS
1D,ISNIN,8:10-8:40,PSV-ITI
1D,ISNIN,8:40-9:10,PSV-ITI
1D,ISNIN,9:10-9:40,BI-AZU
1D,ISNIN,9:40-10:10,BI-AZU
1D,ISNIN,10:30-11:00,SN-RUN
1D,ISNIN,11:00-11:30,SN-RUN
1D,ISNIN,11:30-12:00,PIB-ZIL
1D,ISNIN,12:00-12:30,PIB-ZIL
1D,ISNIN,12:30-1:00,MAT-AIL
1D,ISNIN,1:00-1:30,PAM-ZIL
1D,SELASA,7:40-8:10,MAT-AIL
1D,SELASA,8:10-8:40,MAT-AIL
1D,SELASA,8:40-9:10,MAT-AIL
1D,SELASA,9:10-9:40,SN-RUN
1D,SELASA,9:40-10:10,SN-RUN
1D,SELASA,10:30-11:00,BI-AZU
1D,SELASA,11:00-11:30,BI-AZU
1D,SELASA,11:30-12:00,PJ-PAH
1D,SELASA,12:00-12:30,PJ-PAH
1D,SELASA,12:30-1:00,BM-JWA
1D,SELASA,1:00-1:30,BM-JWA
1D,RABU,7:40-8:10,BM-JWA
1D,RABU,8:10-8:40,BM-JWA
1D,RABU,8:40-9:10,BM-JWA
1D,RABU,9:10-9:40,MAT-AIL
1D,RABU,9:40-10:10,MAT-AIL
1D,RABU,10:30-11:00,SEJ-DIN
1D,RABU,11:00-11:30,PIB-ZIL
1D,RABU,11:30-12:00,PIB-ZIL
1D,RABU,12:00-12:30,RBT-VIY
1D,RABU,12:30-1:00,RBT-VIY
1D,KHAMIS,7:40-8:10,RBT-VIY
1D,KHAMIS,8:10-8:40,RBT-VIY
1D,KHAMIS,8:40-9:10,PJ-PAH
1D,KHAMIS,9:10-9:40,PJ-PAH
1D,KHAMIS,9:40-10:10,GEO-COO
1D,KHAMIS,10:30-11:00,BI-AZU
1D,KHAMIS,11:00-11:30,BI-AZU
1D,KHAMIS,11:30-12:00,SEJ-DIN
1D,KHAMIS,12:00-12:30,PIB-ZIL
1D,KHAMIS,12:30-1:00,PIB-ZIL
1D,JUMAAT,7:45-8:15,SN-RUN
1D,JUMAAT,8:15-8:45,SN-RUN
1D,JUMAAT,8:45-9:15,GEO-COO
1D,JUMAAT,9:15-9:45,GEO-COO
1D,JUMAAT,10:05-10:35,BM-JWA
1D,JUMAAT,10:35-11:05,BM-JWA
1D,JUMAAT,11:05-11:35,SEJ-DIN
1D,JUMAAT,11:35-12:05,SEJ-DIN
1E,ISNIN,7:40-8:10,PP-SGS
1E,ISNIN,8:10-8:40,RBT-VIY
1E,ISNIN,8:40-9:10,RBT-VIY
1E,ISNIN,9:10-9:40,PIB-ZIL
1E,ISNIN,9:40-10:10,PIB-ZIL
1E,ISNIN,10:30-11:00,BM-ZIE
1E,ISNIN,11:00-11:30,BM-ZIE
1E,ISNIN,11:30-12:00,SEJ-GAT
1E,ISNIN,12:00-12:30,SEJ-GAT
1E,ISNIN,12:30-1:00,SEJ-GAT
1E,ISNIN,1:00-1:30,PAM-ZIL
1E,SELASA,7:40-8:10,PJ-EZA
1E,SELASA,8:10-8:40,PJ-EZA
1E,SELASA,8:40-9:10,GEO-VIY
1E,SELASA,9:10-9:40,GEO-VIY
1E,SELASA,9:40-10:10,GEO-VIY
1E,SELASA,10:30-11:00,SN-SUZ
1E,SELASA,11:00-11:30,SN-SUZ
1E,SELASA,11:30-12:00,RBT-VIY
1E,SELASA,12:00-12:30,RBT-VIY
1E,SELASA,12:30-1:00,BI-AZU
1E,SELASA,1:00-1:30,BI-AZU
1E,RABU,7:40-8:10,PIB-ZIL
1E,RABU,8:10-8:40,PIB-ZIL
1E,RABU,8:40-9:10,BM-ZIE
1E,RABU,9:10-9:40,BM-ZIE
1E,RABU,9:40-10:10,BM-ZIE
1E,RABU,10:30-11:00,PSB-ITI
1E,RABU,11:00-11:30,PSB-ITI
1E,RABU,11:30-12:00,MAT-AIL
1E,RABU,12:00-12:30,MAT-AIL
1E,RABU,12:30-1:00,BI-AZU
1E,KHAMIS,7:40-8:10,PJ-WAN
1E,KHAMIS,8:10-8:40,PJ-WAN
1E,KHAMIS,8:40-9:10,SN-SUZ
1E,KHAMIS,9:10-9:40,SN-SUZ
1E,KHAMIS,9:40-10:10,SEJ-GAT
1E,KHAMIS,10:30-11:00,PIB-ZIL
1E,KHAMIS,11:00-11:30,PIB-ZIL
1E,KHAMIS,11:30-12:00,BI-AZU
1E,KHAMIS,12:00-12:30,BI-AZU
1E,KHAMIS,12:30-1:00,MAT-KIL
1E,JUMAAT,7:45-8:15,MAT-AIL
1E,JUMAAT,8:15-8:45,MAT-AIL
1E,JUMAAT,8:45-9:15,SN-SUZ
1E,JUMAAT,9:15-9:45,SN-SUZ
1E,JUMAAT,10:05-10:35,BI-AZU
1E,JUMAAT,10:35-11:05,BI-AZU
1E,JUMAAT,11:05-11:35,PJ-EZA
1E,JUMAAT,11:35-12:05,PJ-EZA
1S,ISNIN,7:40-8:10,PP-SGS
1S,ISNIN,8:10-8:40,BM-ZIE
1S,ISNIN,8:40-9:10,BM-ZIE
1S,ISNIN,9:10-9:40,MZB-HES
1S,ISNIN,9:40-10:10,MZB-HES
1S,ISNIN,10:30-11:00,GEO-VIY
1S,ISNIN,11:00-11:30,RBT-RAN
1S,ISNIN,11:30-12:00,RBT-RAN
1S,ISNIN,12:00-12:30,BI-AZU
1S,ISNIN,12:30-1:00,BI-AZU
1S,ISNIN,1:00-1:30,PAM-GAT
1S,SELASA,7:40-8:10,BI-AZU
1S,SELASA,8:10-8:40,BI-AZU
1S,SELASA,8:40-9:10,SN-ZAH
1S,SELASA,9:10-9:40,SN-ZAH
1S,SELASA,9:40-10:10,PJ-EZA
1S,SELASA,10:30-11:00,PJ-EZA
1S,SELASA,11:00-11:30,MAT-AIL
1S,SELASA,11:30-12:00,MAT-AIL
1S,SELASA,12:00-12:30,BM-ZIE
1S,SELASA,12:30-1:00,BM-ZIE
1S,SELASA,1:00-1:30,BM-ZIE
1S,RABU,7:40-8:10,SN-ZAH
1S,RABU,8:10-8:40,SN-ZAH
1S,RABU,8:40-9:10,BI-AZU
1S,RABU,9:10-9:40,BI-AZU
1S,RABU,9:40-10:10,GEO-VIY
